formula_id,name_zh,name_en,formula,output_range,purpose,missing_policy,online_edit,default_threshold
F-EQ-001,证据质量,Evidence Quality,0.28*source_authority + 0.18*locator_precision + 0.14*temporal_fit + 0.16*cross_source_confirmation + 0.12*source_independence + 0.12*entity_resolution_quality,0..100,衡量证据可信度与可定位性,renormalize_available,component_weights,minimum quality >= 55; inferred relation sources >= 2
F-RF-001,时间相关性,Recency Factor,exp(-ln(2) * age_days / half_life_days),0..1,按信息类型衰减时间贡献,use_observed_at_or_disclose_unknown,half_life_days,30..1825 days
F-NP-001,节点商业版图优先级,Node Priority,sum(component_i * weight_i) * QualityFactor * CoverageFactor,0..100,控制节点大小、排序、路径和 Watchlist 优先级,renormalize_available+coverage_penalty,weights;quality;coverage,minimum adjusted priority >= 46
F-EM-001,关系重要性,Edge Materiality,0.35*relationship_strength + 0.25*strategic_dependency + 0.20*transaction_materiality + 0.10*evidence_quality + 0.10*time_relevance,0..100,控制关系边显示、宽度和聚合,renormalize_available,weights;display_threshold,minimum edge materiality >= 48
F-SS-001,战略信号,Strategic Signal,0.28*capex_acceleration + 0.20*investment_and_mna + 0.18*capacity_and_long_contracts + 0.14*talent_and_hiring + 0.10*patent_product_signal + 0.10*policy_alignment,0..100,形成下一步战略主题研究假设,renormalize_available+contradiction_panel,weights;window;threshold,watch >= 60; strong >= 75
F-AS-001,变化告警,Alert Score,0.35*score_delta + 0.25*novelty + 0.20*evidence_quality + 0.20*watchlist_relevance,0..100,决定变化与告警优先级,no_alert_without_evidence,weights;delta_threshold,high-priority alert >= 80; material delta >= 8
F-SC-001,供应链关键性,Supply Chain Criticality,0.30*uniqueness + 0.25*switching_cost + 0.20*lead_time + 0.15*capacity_concentration + 0.10*geopolitical_exposure,0..100,定位瓶颈、替代性和单点依赖,unknown_not_zero,weights;stage_threshold,critical >= 70
F-CI-001,控制影响,Control Influence,0.30*voting_power + 0.25*board_rights + 0.20*special_rights + 0.15*economic_interest + 0.10*founder_management_power,0..100,区分经济所有权与实际控制,separate_unknown_components,weights;control_threshold,material >= 55
F-CM-001,资本动量,Capital Momentum,0.25*capex_growth + 0.20*financing_activity + 0.20*strategic_investment + 0.15*mna_activity + 0.10*buyback_dividend_shift + 0.10*commitment_growth,0..100,识别资本配置方向,amount_semantics_aware,weights;period,material >= 60
F-PE-001,政策暴露,Policy Exposure,0.25*revenue_dependency + 0.20*subsidy_dependency + 0.20*export_control + 0.15*regulatory_intensity + 0.10*government_contract + 0.10*geographic_concentration,0..100,呈现政策机会、约束和依赖,jurisdiction_specific_unknown,weights;jurisdiction;half_life,watch >= 55
F-DR-001,依赖风险,Dependency Risk,0.30*concentration + 0.25*criticality + 0.20*switching_cost + 0.15*contract_lock_in + 0.10*policy_exposure,0..100,跨供应链、技术和商业依赖形成风险排序,renormalize_available+coverage,weights;threshold,high >= 70
