symbol,market,asset_class,tradability,currency,timezone,source,source_symbol,yahoo_symbol,notes,status,error,cache_cache_path,cache_quality_score,cache_quality_grade,cache_bars,cache_start,cache_end
SPY,US_ETF,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,moomoo_opend,US.SPY,SPY,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use.",completed,,data_cache_moomoo_batch10/US_ETF/US.SPY.csv,100.0,A,1614,2020-01-02,2026-06-04
QQQ,US_ETF,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,moomoo_opend,US.QQQ,QQQ,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use.",completed,,data_cache_moomoo_batch10/US_ETF/US.QQQ.csv,100.0,A,1614,2020-01-02,2026-06-04
DIA,US_ETF,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,moomoo_opend,US.DIA,DIA,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use.",completed,,data_cache_moomoo_batch10/US_ETF/US.DIA.csv,100.0,A,1614,2020-01-02,2026-06-04
IWM,US_ETF,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,moomoo_opend,US.IWM,IWM,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use.",completed,,data_cache_moomoo_batch10/US_ETF/US.IWM.csv,100.0,A,1614,2020-01-02,2026-06-04
VTI,US_ETF,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,moomoo_opend,US.VTI,VTI,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use.",completed,,data_cache_moomoo_batch10/US_ETF/US.VTI.csv,100.0,A,1614,2020-01-02,2026-06-04
VOO,US_ETF,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,moomoo_opend,US.VOO,VOO,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use.",completed,,data_cache_moomoo_batch10/US_ETF/US.VOO.csv,100.0,A,1614,2020-01-02,2026-06-04
IVV,US_ETF,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,moomoo_opend,US.IVV,IVV,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use.",completed,,data_cache_moomoo_batch10/US_ETF/US.IVV.csv,100.0,A,1614,2020-01-02,2026-06-04
RSP,US_ETF,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,moomoo_opend,US.RSP,RSP,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use.",completed,,data_cache_moomoo_batch10/US_ETF/US.RSP.csv,100.0,A,1614,2020-01-02,2026-06-04
SCHD,US_ETF,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,moomoo_opend,US.SCHD,SCHD,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use.",completed,,data_cache_moomoo_batch10/US_ETF/US.SCHD.csv,100.0,A,1614,2020-01-02,2026-06-04
VIG,US_ETF,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,moomoo_opend,US.VIG,VIG,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use.",completed,,data_cache_moomoo_batch10/US_ETF/US.VIG.csv,100.0,A,1614,2020-01-02,2026-06-04
