date,symbol,name,industry,close,volume,turnover
2026-05-20,DEMO_SEMI,示例半导体ETF,半导体,10.00,1000000,10000000
2026-05-21,DEMO_SEMI,示例半导体ETF,半导体,10.12,1180000,11941600
2026-05-22,DEMO_SEMI,示例半导体ETF,半导体,10.20,1250000,12750000
2026-05-25,DEMO_SEMI,示例半导体ETF,半导体,10.35,1400000,14490000
2026-05-26,DEMO_SEMI,示例半导体ETF,半导体,10.31,1150000,11856500
2026-05-27,DEMO_SEMI,示例半导体ETF,半导体,10.48,1500000,15720000
2026-05-28,DEMO_SEMI,示例半导体ETF,半导体,10.62,1640000,17416800
2026-05-29,DEMO_SEMI,示例半导体ETF,半导体,10.55,1320000,13926000
2026-06-01,DEMO_SEMI,示例半导体ETF,半导体,10.71,1700000,18207000
2026-06-02,DEMO_SEMI,示例半导体ETF,半导体,10.86,1760000,19113600
2026-06-03,DEMO_SEMI,示例半导体ETF,半导体,10.92,1820000,19874400
2026-05-20,DEMO_AI,示例AI指数,计算机,20.00,800000,16000000
2026-05-21,DEMO_AI,示例AI指数,计算机,20.10,820000,16482000
2026-05-22,DEMO_AI,示例AI指数,计算机,20.35,900000,18315000
2026-05-25,DEMO_AI,示例AI指数,计算机,20.30,760000,15428000
2026-05-26,DEMO_AI,示例AI指数,计算机,20.58,950000,19551000
2026-05-27,DEMO_AI,示例AI指数,计算机,20.72,970000,20098400
2026-05-28,DEMO_AI,示例AI指数,计算机,20.66,830000,17147800
2026-05-29,DEMO_AI,示例AI指数,计算机,20.85,980000,20433000
2026-06-01,DEMO_AI,示例AI指数,计算机,21.10,1050000,22155000
2026-06-02,DEMO_AI,示例AI指数,计算机,21.26,1080000,22960800
2026-06-03,DEMO_AI,示例AI指数,计算机,21.02,1000000,21020000
2026-05-20,DEMO_CONSUMER,示例消费龙头,食品饮料,30.00,600000,18000000
2026-05-21,DEMO_CONSUMER,示例消费龙头,食品饮料,29.90,590000,17641000
2026-05-22,DEMO_CONSUMER,示例消费龙头,食品饮料,30.12,610000,18373200
2026-05-25,DEMO_CONSUMER,示例消费龙头,食品饮料,30.05,570000,17128500
2026-05-26,DEMO_CONSUMER,示例消费龙头,食品饮料,30.20,640000,19328000
2026-05-27,DEMO_CONSUMER,示例消费龙头,食品饮料,30.18,620000,18711600
2026-05-28,DEMO_CONSUMER,示例消费龙头,食品饮料,30.45,700000,21315000
2026-05-29,DEMO_CONSUMER,示例消费龙头,食品饮料,30.40,660000,20064000
2026-06-01,DEMO_CONSUMER,示例消费龙头,食品饮料,30.55,690000,21079500
2026-06-02,DEMO_CONSUMER,示例消费龙头,食品饮料,30.62,720000,22046400
2026-06-03,DEMO_CONSUMER,示例消费龙头,食品饮料,30.78,750000,23085000
