asset_code,asset_name,platform,current_amount,current_weight,cost_basis,unrealized_pnl,as_of,source_note
ALIPAY_NAME_博时标普500ETF联接_QDII_A,博时标普500ETF联接(QDII)A,Alipay,2768.19,0.02993631,0.0,337.45,2026-06-05,candidate_from_quantlab_holdings_book; quality=video_visible; manual_review_required
ALIPAY_NAME_南方纳斯达克100指数_QDII_C,南方纳斯达克100指数(QDII)C,Alipay,3108.86,0.03362045,0.0,210.45,2026-06-05,candidate_from_quantlab_holdings_book; quality=video_visible; manual_review_required
ALIPAY_NAME_易方达全球成长精选混合_QDII_C,易方达全球成长精选混合(QDII)C,Alipay,167.54,0.00181184,0.0,7.54,2026-06-05,candidate_from_quantlab_holdings_book; quality=video_visible; manual_review_required
ALIPAY_NAME_易方达全球成长精选混合_QDII_A,易方达全球成长精选混合(QDII)A,Alipay,103.07,0.00111464,0.0,3.07,2026-06-05,candidate_from_quantlab_holdings_book; quality=video_visible; manual_review_required
ALIPAY_NAME_前海开源沪港深核心资源灵活配置混合C,前海开源沪港深核心资源灵活配置混合C,Alipay,4057.25,0.04387672,0.0,178.24,2026-06-05,candidate_from_quantlab_holdings_book; quality=video_visible; manual_review_required
ALIPAY_NAME_华夏国证半导体芯片ETF联接A,华夏国证半导体芯片ETF联接A,Alipay,8603.47,0.09304135,0.0,155.54,2026-06-05,candidate_from_quantlab_holdings_book; quality=video_visible; manual_review_required
ALIPAY_NAME_易方达人工智能ETF联接A,易方达人工智能ETF联接A,Alipay,8014.51,0.0866721,0.0,124.52,2026-06-05,candidate_from_quantlab_holdings_book; quality=video_visible; manual_review_required
ALIPAY_NAME_中金中证500指数增强A,中金中证500指数增强A,Alipay,1532.17,0.0165695,0.0,11.01,2026-06-05,candidate_from_quantlab_holdings_book; quality=video_visible; manual_review_required
ALIPAY_NAME_摩根标普500指数_QDII_C,摩根标普500指数(QDII)C,Alipay,200.0,0.00216288,0.0,0.0,2026-06-05,candidate_from_quantlab_holdings_book; quality=video_visible; manual_review_required
ALIPAY_NAME_摩根标普500指数_QDII_A,摩根标普500指数(QDII)A,Alipay,200.0,0.00216288,0.0,0.0,2026-06-05,candidate_from_quantlab_holdings_book; quality=video_visible; manual_review_required
ALIPAY_NAME_南方纳斯达克100指数_QDII_A,南方纳斯达克100指数(QDII)A,Alipay,899.83,0.00973112,0.0,-0.17,2026-06-05,candidate_from_quantlab_holdings_book; quality=video_visible; manual_review_required
ALIPAY_NAME_华安纳斯达克100ETF联接_QDII_C,华安纳斯达克100ETF联接(QDII)C,Alipay,39.97,0.00043225,0.0,-0.03,2026-06-05,candidate_from_quantlab_holdings_book; quality=video_visible; manual_review_required
ALIPAY_NAME_华安纳斯达克100ETF联接_QDII_A,华安纳斯达克100ETF联接(QDII)A,Alipay,39.95,0.00043204,0.0,-0.05,2026-06-05,candidate_from_quantlab_holdings_book; quality=video_visible; manual_review_required
ALIPAY_NAME_富国蓝筹精选股票_QDII_,富国蓝筹精选股票(QDII),Alipay,2496.04,0.02699317,0.0,-30.23,2026-06-05,candidate_from_quantlab_holdings_book; quality=video_visible; manual_review_required
ALIPAY_NAME_易方达红利低波ETF联接A,易方达红利低波ETF联接A,Alipay,2998.07,0.03242232,0.0,-47.74,2026-06-05,candidate_from_quantlab_holdings_book; quality=video_visible; manual_review_required
ALIPAY_NAME_华夏新锦绣灵活配置混合C,华夏新锦绣灵活配置混合C,Alipay,4963.76,0.05368007,0.0,-83.23,2026-06-05,candidate_from_quantlab_holdings_book; quality=video_visible; manual_review_required
ALIPAY_NAME_华夏新锦绣灵活配置混合A,华夏新锦绣灵活配置混合A,Alipay,4987.91,0.05394124,0.0,-87.99,2026-06-05,candidate_from_quantlab_holdings_book; quality=video_visible; manual_review_required
ALIPAY_NAME_天弘中证农业主题ETF联接C,天弘中证农业主题ETF联接C,Alipay,2638.44,0.02853314,0.0,-61.56,2026-06-05,candidate_from_quantlab_holdings_book; quality=video_visible; manual_review_required
ALIPAY_NAME_华泰柏瑞科创50联接A,华泰柏瑞科创50联接A,Alipay,3302.07,0.0357099,0.0,-96.35,2026-06-05,candidate_from_quantlab_holdings_book; quality=video_visible; manual_review_required
ALIPAY_NAME_博时中证银行ETF联接_LOF_A,博时中证银行ETF联接(LOF)A,Alipay,6602.09,0.07139763,0.0,-202.58,2026-06-05,candidate_from_quantlab_holdings_book; quality=video_visible; manual_review_required
ALIPAY_NAME_博时恒生科技ETF联接_QDII_A,博时恒生科技ETF联接(QDII)A,Alipay,4913.27,0.05313406,0.0,-157.44,2026-06-05,candidate_from_quantlab_holdings_book; quality=video_visible; manual_review_required
ALIPAY_NAME_广发量化多因子灵活配置混合A,广发量化多因子灵活配置混合A,Alipay,2792.96,0.03020418,0.0,-117.58,2026-06-05,candidate_from_quantlab_holdings_book; quality=video_visible; manual_review_required
ALIPAY_NAME_华夏国证自由现金流ETF联接A,华夏国证自由现金流ETF联接A,Alipay,2524.34,0.02729922,0.0,-137.64,2026-06-05,candidate_from_quantlab_holdings_book; quality=video_visible; manual_review_required
ALIPAY_NAME_华夏中证AH经济蓝筹股票指数A,华夏中证AH经济蓝筹股票指数A,Alipay,2625.15,0.02838942,0.0,-182.2,2026-06-05,candidate_from_quantlab_holdings_book; quality=video_visible_lowres; manual_review_required
ALIPAY_NAME_国泰黄金ETF联接A,国泰黄金ETF联接A,Alipay,11386.53,0.12313846,0.0,-257.95,2026-06-05,candidate_from_quantlab_holdings_book; quality=carried_forward_unverified; manual_review_required
ALIPAY_NAME_博时中证机器人指数A,博时中证机器人指数A,Alipay,3408.64,0.03686239,0.0,-75.19,2026-06-05,candidate_from_quantlab_holdings_book; quality=carried_forward_unverified; manual_review_required
ALIPAY_NAME_易方达石油化工ETF联接A,易方达石油化工ETF联接A,Alipay,2784.2,0.03010945,0.0,-75.8,2026-06-05,candidate_from_quantlab_holdings_book; quality=carried_forward_unverified; manual_review_required
ALIPAY_NAME_诺安多策略混合C,诺安多策略混合C,Alipay,4311.04,0.0466213,0.0,-353.47,2026-06-05,candidate_from_quantlab_holdings_book; quality=carried_forward_unverified; manual_review_required
